"","actors","gross_coef"
"Orlando.Bloom","Orlando.Bloom",2.47879938765415
"Robert.Downey.Jr.","Robert.Downey.Jr.",0.740853226552609
"Andrew.Garfield","Andrew.Garfield",0.119738881035285
"Adam.Brown","Adam.Brown",0.597273915619452
"Scarlett.Johansson","Scarlett.Johansson",0.59533050523101
"Judy.Greer","Judy.Greer",0.00152805883150923
"Jon.Favreau","Jon.Favreau",0.476185010221857
"Kevin.Dunn","Kevin.Dunn",2.32947414331656
"Sophia.Myles","Sophia.Myles",0.420866432058872
"John.Ratzenberger","John.Ratzenberger",2.16830696902041
"Bryce.Dallas.Howard","Bryce.Dallas.Howard",0.948170760585088
"Christopher.Lee","Christopher.Lee",0.521693120279118
"Morgan.Freeman","Morgan.Freeman",0.192597318969174
"Mindy.Kaling","Mindy.Kaling",0.0259905253797861
"Tom.Hardy","Tom.Hardy",1.16252495268058
"Rami.Malek","Rami.Malek",0.195486673687975
"Ryan.Reynolds","Ryan.Reynolds",0.0846572636540439
"Maurice.LaMarche","Maurice.LaMarche",2.54744178525773
"Daniel.Bernhardt","Daniel.Bernhardt",0.913233311857123
"Tom.Cruise","Tom.Cruise",0.234885570482895
"Dwayne.Johnson","Dwayne.Johnson",0.0203109338547872
"Hayley.Atwell","Hayley.Atwell",0.855648540450148
"Josh.Hutcherson","Josh.Hutcherson",0.201524977068034
"Lisa.Ann.Walter","Lisa.Ann.Walter",0.040050298876934
"Brad.Garrett","Brad.Garrett",0.590572718346589
"Steve.Coogan","Steve.Coogan",0.0167152606790632
"Blythe.Danner","Blythe.Danner",0.237195535418699
"Mason.Lee","Mason.Lee",0.5452255420684
"Jon.Hamm","Jon.Hamm",0.578930970383259
"Tom.Hanks","Tom.Hanks",0.278162116278154
"Amy.Poehler","Amy.Poehler",0.0826532014175135
"Will.Smith","Will.Smith",0.536442270969957
"Ed.Skrein","Ed.Skrein",1.94324396175454
"Leonard.Roberts","Leonard.Roberts",1.85787931343013
"Taylor.Lautner","Taylor.Lautner",0.130113681682171
"Omar.Sy","Omar.Sy",1.81832217386998
"Johnny.Depp","Johnny.Depp",0.321362796584308
"Chris.Hemsworth","Chris.Hemsworth",0.977279403856439
"Henry.Cavill","Henry.Cavill",0.0908783949568459
"Bingbing.Li","Bingbing.Li",0.00109731776289043
"Jennifer.Lawrence","Jennifer.Lawrence",0.806369129723446
"Steve.Bastoni","Steve.Bastoni",0.0034697893464954
"Robert.Pattinson","Robert.Pattinson",0.777751046213525
"Catherine.Dyer","Catherine.Dyer",0.566335682207352
"Lisa.Ann","Lisa.Ann",1.14571742734771e-06
"Alan.D..Purwin","Alan.D..Purwin",1.49488198874946
"James.Nesbitt","James.Nesbitt",0.0020594436739451
"Don.Rickles","Don.Rickles",0.301914913240977
"Noel.Clarke","Noel.Clarke",0.193214744369764
"Phyllis.Smith","Phyllis.Smith",0.804485853772538
"Willow.Smith","Willow.Smith",0.0358701248175505
"Livvy.Stubenrauch","Livvy.Stubenrauch",0.00544892146291071
"Helmut.Bakaitis","Helmut.Bakaitis",8.3051176142352e-05
"Anthony.Reynolds","Anthony.Reynolds",1.64464490054189
"Mike.Tyson","Mike.Tyson",0.000602963155292219
"Conrad.Vernon","Conrad.Vernon",3.04318976903408
"Stefan.Kapicic","Stefan.Kapicic",0.00755248981237485
"Keir.O.Donnell","Keir.O.Donnell",0.000568521295793599
