"","actors","score_coef"
"1","Rene Russo",0.159341639615672
"2","Ruth Negga",0.159302049450459
"3","Aaron Staton",0.158404530758736
"4","Lauryn Hill",0.157647299586225
"5","Jaqueline Fleming",0.157605178124279
"6","Chris 'Wonder' Schoeck",0.157109064046368
"7","Oliver Reed",0.156521548289699
"8","Seth Gilliam",0.156003055312921
"9","Chris Lowell",0.155827322952725
"10","Mike Bell",0.155716719046609
"11","Darcy Donavan",0.155085313653368
"12","Angie Dickinson",0.153730889773847
"13","Debrianna Mansini",0.153673278882615
"14","Leah Remini",0.15345173858297
"15","Robert Longstreet",0.153262318533429
"16","T.J. Thyne",0.15271958324197
"17","Daniel von Bargen",0.152420417518498
"18","Chiaki Kuriyama",0.152303955484068
"19","Aisha Hinds",0.152221563768085
"20","Kate Burton",0.151051816236367
"21","Miranda Cosgrove",0.150983069717744
"22","Katie Lowes",0.150842886578241
"23","Maria Thayer",0.150647421631049
"24","Elliott Gould",0.150591771698517
"25","Phylicia Rashad",0.149872166911688
"26","Mike Tyson",0.149639447923606
"27","Craig Roberts",0.149468600653298
"28","Terrance Zdunich",0.149168897004192
"29","Donna Murphy",0.149048762106546
"30","Benedict Wong",0.149032274002733
"31","Oksana Akinshina",0.148780512068819
"32","Oona Laurence",0.148498479101125
"33","Emily Ratajkowski",0.148137444698664
"34","Samantha Mathis",0.148094370266089
"35","Owen Burke",0.147898545623533
"36","Jurnee Smollett-Bell",0.147694529145496
"37","Mackenzie Foy",0.147662746435924
"38","Cyril Raffaelli",0.147379329237469
"39","Paddy Considine",0.147340341957839
"40","Tabu",0.147005715679215
"41","Jake Wood",0.146955247388478
"42","Keir O'Donnell",0.146692211003803
"43","Jim Rash",0.146674728960012
"44","Ella Joyce",0.146463735232085
"45","Toby Huss",0.14630050929699
"46","James Karen",0.146072823164918
"47","Ben Platt",0.146036149396743
"48","Richard Thomas",0.14586409247124
"49","Jill Flint",0.145824995574897
"50","Ellen Wong",0.145807278384257
"51","Daniel Tay",0.145681531639299
"52","Chris Brochu",0.145540034768559
"53","T.V. Carpio",0.145295115558696
"54","Marcella Lentz-Pope",0.145294016322003
"55","Marc Donato",0.145192882267958
"56","Tracie Thoms",0.144829939574365
"57","Grace Gummer",0.144465213594426
"58","Lara Pulver",0.144351060825491
"59","Dan Bilzerian",0.143666544118793
"60","Grey Griffin",0.143425920412984
