director_name
James Cameron
Gore Verbinski
Christopher Nolan
Andrew Stanton
Sam Raimi
Nathan Greno
Joss Whedon
Zack Snyder
Bryan Singer
Andrew Adamson
Rob Marshall
Barry Sonnenfeld
Marc Webb
Ridley Scott
Peter Jackson
Chris Weitz
Anthony Russo
Peter Berg
Colin Trevorrow
Shane Black
Tim Burton
Dan Scanlon
Michael Bay
Joseph Kosinski
John Lasseter
Martin Campbell
Lee Unkrich
McG
James Wan
Marc Forster
J.J. Abrams
Mike Newell
Guillermo del Toro
Steven Spielberg
Peter Sohn
Mark Andrews
Justin Lin
Brett Ratner
Roland Emmerich
Robert Zemeckis
Lana Wachowski
David Yates
Pete Docter
Rob Letterman
Jon Favreau
Martin Scorsese
Rob Cohen
David Ayer
Tom Shadyac
Doug Liman
Stephen Sommers
Rupert Sanders
Robert Stromberg
Matt Reeves
Carl Rinsch
Mike Mitchell
Brad Bird
Don Hall
Rich Moore
Dean DeBlois
Jonathan Mostow
James Gunn
David Fincher
Matthew Vaughn
Francis Lawrence
Jon Turteltaub
Wolfgang Petersen
James Bobin
Chris Miller
Duncan Jones
Alan Taylor
Michael Apted
Eric Darnell
Shawn Levy
Gavin Hood
Chris Buck
Ron Howard
Kenneth Branagh
Byron Howard
Hoyt Yeatman
Jonathan Liebesman
Joe Johnston
Steve Hickner
Jennifer Yuh Nelson
M. Night Shyamalan
Simon Wells
Joe Wright
Rob Minkoff
Paul Feig
Alessandro Carloni
Peter Ramsey
Dean Parisot
Edward Zwick
Alex Proyas
Ang Lee
Jon M. Chu
Hironobu Sakaguchi
Peter Weir
Bill Condon
Louis Leterrier
Alejandro G. I????rritu
David Soren
Paul Greengrass
Mark Osborne
Peyton Reed
Tim Johnson
Phillip Noyce
Darren Aronofsky
Eric Leighton
Tom McGrath
Robert Schwentke
Carlos Saldanha
Guy Ritchie
Tony Gilroy
John Woo
Tim Story
Mark Steven Johnson
Neill Blomkamp
David Twohy
Jos?? Padilha
James L. Brooks
James Mangold
George Lucas
Kirk De Micco
Cedric Nicolas-Troyan
Dave Green
Josh Trank
Brad Peyton
Steven Soderbergh
Michel Gondry
Noam Murro
Raja Gosnell
Will Finn
Len Wiseman
Frank Coraci
Michael Mann
Bo Welch
Ron Clements
Dominic Sena
Tony Scott
Paul Weitz
Adam McKay
Quentin Tarantino
Mark Dindal
Simon West
Stefen Fangmeier
Chris Wedge
Florian Henckel von Donnersmarck
Pitof
Brad Silberling
Patrick Hughes
Ericson Core
Lawrence Guterman
Ron Underwood
Steve Martino
Ash Brannon
Frank Oz
Jay Roach
Michael Patrick King
Bibo Bergeron
Sergey Bodrov
Rupert Wyatt
Mark Waters
John Moore
John Lee Hancock
Phil Lord
Ben Stiller
Timur Bekmambetov
Gary Trousdale
Walt Becker
Dennis Dugan
Chris Columbus
Paul Verhoeven
Thor Freudenthal
Jan de Bont
Brian De Palma
Gary Ross
George Miller
Genndy Tartakovsky
Kevin Lima
Daniel Espinosa
Nancy Meyers
Roger Allers
Neil Burger
Jean-Jacques Annaud
Andrew Davis
Tarsem Singh
Edgar Wright
Jon Amiel
Peter Segal
Roger Spottiswoode
Sylvester Stallone
Todd Phillips
Gary Winick
Adam Shankman
Sam Mendes
D.J. Caruso
Anthony Minghella
Albert Hughes
Scott Derrickson
Eric Brevig
Kelly Asbury
Jonathan Demme
Steven Brill
Terry Gilliam
Roger Donaldson
Barry Cook
Roger Christian
Richard Donner
Breck Eisner
Antony Hoffman
Cody Cameron
John Singleton
Oliver Hirschbiegel
Des McAnuff
Stephen Norrington
Pierre Coffin
Alfonso Cuar??n
Renny Harlin
Mike Nichols
F. Gary Gray
Antoine Fuqua
Robert Luketic
Gil Kenan
Barry Levinson
Florent-Emilio Siri
Don Bluth
Ron Shelton
David Pastor
Henry Selick
Kyle Balda
Clay Kaytis
Andy Tennant
Judd Apatow
Steve Carr
David Silverman
Frank Darabont
Paul Tibbitt
Clark Johnson
Cameron Crowe
Paul W.S. Anderson
Betty Thomas
Randall Wallace
George Clooney
Oliver Stone
Gary Shore
Joel Schumacher
M??ns M??rlind
Gregory Hoblit
John McTiernan
Wych Kaosayananda
Bobby Farrelly
Kerry Conran
Mikael H??fstr??m
Phil Alden Robinson
David Slade
Seth MacFarlane
Craig Gillespie
Scott Waugh
Lawrence Kasdan
Michael Lembeck
Tom Hooper
Angelina Jolie Pitt
Clint Eastwood
Larry Charles
Will Gluck
Glenn Ficarra
David S. Goyer
Taylor Hackford
Frank Miller
Keenen Ivory Wayans
Marco Schnabel
Demian Lichtenstein
Josh Gordon
Tim Hill
David Frankel
Baltasar Korm??kur
Marc Lawrence
Peter Billingsley
Wes Ball
Ryan Murphy
Chuck Russell
Jay Russell
Christopher McQuarrie
Kenny Ortega
David McNally
Brian Robbins
Chris Butler
Kevin Donovan
David O. Russell
Graham Annable
John Pasquin
Rob Bowman
Ruben Fleischer
Harold Ramis
Kevin Macdonald
Stuart Baird
Joel Coen
Robert Lorenz
Jon Avnet
Robert Redford
Lee Tamahori
Scott Stewart
Patrick Gilmore
Rod Lurie
Walter Hill
Akiva Goldsman
Harald Zwart
Walter Salles
John Dahl
Tim Miller
Brian Levant
Anthony Hemingway
Sean Anders
Mark Neveldine
Kevin Bray
Jesse Dylan
Wayne Wang
Gabriele Muccino
Tom Dey
Jimmy Hayward
Akiva Schaffer
William Friedkin
Kent Alterman
Karyn Kusama
Ron Maxwell
Karey Kirkpatrick
Steve Antin
Jim Gillespie
Martin Brest
Baz Luhrmann
Harold Becker
Scott Cooper
Robert Rodriguez
Curtis Hanson
Kathryn Bigelow
Phyllida Lloyd
Garry Marshall
Jay Chandrasekhar
David Dobkin
Paul Hunter
John Whitesell
George Nolfi
Donald Petrie
Rawson Marshall Thurber
Spike Lee
Hideo Nakata
Peter Hewitt
Joe Roth
Bennett Miller
Andy Fickman
James McTeigue
Matthew O'Callaghan
Angela Robinson
Gary Fleder
Adrian Lyne
Stephen Gaghan
Jorge R. Guti??rrez
Richard Loncraine
Howard Deutch
Jon Hurwitz
Steven Quale
Carl Franklin
Danny Boyle
Barbet Schroeder
Andrew Niccol
Tom Tykwer
Wes Anderson
Alan Parker
Stephen Herek
Jaume Collet-Serra
David Cronenberg
John Stockwell
David Gordon Green
