"","directors","gross_coef"
"Gore.Verbinski","Gore.Verbinski",1.30953913863749
"Christopher.Nolan","Christopher.Nolan",2.19625696792123
"Andrew.Stanton","Andrew.Stanton",2.08358781781138
"Sam.Raimi","Sam.Raimi",4.30075077592482
"Nathan.Greno","Nathan.Greno",1.51067947505086
"Joss.Whedon","Joss.Whedon",4.13033344131278
"Zack.Snyder","Zack.Snyder",2.17536869020942
"Bryan.Singer","Bryan.Singer",1.21835584082279
"Andrew.Adamson","Andrew.Adamson",2.93555427688055
"Rob.Marshall","Rob.Marshall",0.650232330329141
"Barry.Sonnenfeld","Barry.Sonnenfeld",1.36814426127646
"Marc.Webb","Marc.Webb",1.33895846637568
"Ridley.Scott","Ridley.Scott",0.0883619809412788
"Peter.Jackson","Peter.Jackson",2.61945498534242
"Anthony.Russo","Anthony.Russo",2.11647165188739
"Peter.Berg","Peter.Berg",0.896847572479035
"Colin.Trevorrow","Colin.Trevorrow",7.70376258772096
"Shane.Black","Shane.Black",1.8045848387201
"Tim.Burton","Tim.Burton",1.00682406836405
"Michael.Bay","Michael.Bay",1.6158599486919
"Joseph.Kosinski","Joseph.Kosinski",0.76075742469346
"John.Lasseter","John.Lasseter",1.95740321120533
"Lee.Unkrich","Lee.Unkrich",4.44932947841139
"James.Wan","James.Wan",1.17680294067282
"J.J..Abrams","J.J..Abrams",1.89952498375048
"Guillermo.del.Toro","Guillermo.del.Toro",0.173575318229017
"Steven.Spielberg","Steven.Spielberg",1.36420926503445
"Peter.Sohn","Peter.Sohn",0.444084058923696
"Mark.Andrews","Mark.Andrews",2.01114265518052
"Brett.Ratner","Brett.Ratner",0.243399318210686
"Roland.Emmerich","Roland.Emmerich",0.920538808673106
"Robert.Zemeckis","Robert.Zemeckis",0.858929746249585
"Lana.Wachowski","Lana.Wachowski",0.76965303360537
"David.Yates","David.Yates",0.457550647611465
"Pete.Docter","Pete.Docter",3.36076783892432
"Rob.Letterman","Rob.Letterman",0.5333520154512
"Jon.Favreau","Jon.Favreau",0.922208490247354
"Martin.Scorsese","Martin.Scorsese",0.198870321458591
"Rob.Cohen","Rob.Cohen",0.134423758000659
"Tom.Shadyac","Tom.Shadyac",0.840201766953446
"Doug.Liman","Doug.Liman",0.189262562582599
"Stephen.Sommers","Stephen.Sommers",1.38574717491951
"Rupert.Sanders","Rupert.Sanders",0.88371523780532
"Matt.Reeves","Matt.Reeves",0.949450644143005
"Mike.Mitchell","Mike.Mitchell",1.05604151974923
"Brad.Bird","Brad.Bird",1.39358252145684
"Don.Hall","Don.Hall",1.80815552381317
"Rich.Moore","Rich.Moore",1.3543452442048
"Dean.DeBlois","Dean.DeBlois",1.18400905969297
"Jonathan.Mostow","Jonathan.Mostow",0.265577354549408
"David.Fincher","David.Fincher",0.242141881103385
"Matthew.Vaughn","Matthew.Vaughn",0.764258112695602
"Francis.Lawrence","Francis.Lawrence",3.06721586773063
"Wolfgang.Petersen","Wolfgang.Petersen",0.638650794028403
"James.Bobin","James.Bobin",0.0555159892138829
"Chris.Miller","Chris.Miller",0.803079295951875
"Alan.Taylor","Alan.Taylor",1.0009998902824
"Eric.Darnell","Eric.Darnell",1.42919294931321
"Shawn.Levy","Shawn.Levy",0.675836423617503
"Gavin.Hood","Gavin.Hood",0.270070390068247
"Chris.Buck","Chris.Buck",4.25384440801592
"Ron.Howard","Ron.Howard",0.427639062520143
"Kenneth.Branagh","Kenneth.Branagh",1.04368170540209
"Hoyt.Yeatman","Hoyt.Yeatman",0.394007071243364
"Jonathan.Liebesman","Jonathan.Liebesman",0.339076024739702
"Joe.Johnston","Joe.Johnston",0.791843041121529
"Jennifer.Yuh.Nelson","Jennifer.Yuh.Nelson",1.02254969225488
"M..Night.Shyamalan","M..Night.Shyamalan",0.334010019012957
"Rob.Minkoff","Rob.Minkoff",0.0717602463725466
"Paul.Feig","Paul.Feig",0.710806010753971
"Alessandro.Carloni","Alessandro.Carloni",0.724719227998067
"Peter.Ramsey","Peter.Ramsey",0.174209513195371
"Alex.Proyas","Alex.Proyas",0.234952730243814
"Ang.Lee","Ang.Lee",0.313478545211443
"Jon.M..Chu","Jon.M..Chu",0.136263531185346
"Peter.Weir","Peter.Weir",0.044216310789134
"Bill.Condon","Bill.Condon",0.920835384784437
"Louis.Leterrier","Louis.Leterrier",0.896718689618875
"Alejandro.G..Irritu","Alejandro.G..Irritu",0.172459326296137
"Paul.Greengrass","Paul.Greengrass",1.39847449445762
"Mark.Osborne","Mark.Osborne",1.71084313089801
"Peyton.Reed","Peyton.Reed",0.744189227562428
"Tim.Johnson","Tim.Johnson",1.24983341849322
"Phillip.Noyce","Phillip.Noyce",0.378794439542176
"Eric.Leighton","Eric.Leighton",0.645478187315771
"Tom.McGrath","Tom.McGrath",0.790772486195937
"Robert.Schwentke","Robert.Schwentke",0.270236474727727
"Carlos.Saldanha","Carlos.Saldanha",0.726022939667066
"Guy.Ritchie","Guy.Ritchie",0.715352919267157
"Tim.Story","Tim.Story",0.605439635761343
"James.Mangold","James.Mangold",0.150854725687525
"George.Lucas","George.Lucas",3.97293065961653
"Kirk.De.Micco","Kirk.De.Micco",0.460270215184286
"Brad.Peyton","Brad.Peyton",0.74649952329798
"Steven.Soderbergh","Steven.Soderbergh",0.906275364214895
"Noam.Murro","Noam.Murro",0.214940519927621
"Raja.Gosnell","Raja.Gosnell",0.783107475944121
"Len.Wiseman","Len.Wiseman",0.601199649527075
"Michael.Mann","Michael.Mann",0.054935732758546
"Bo.Welch","Bo.Welch",0.13368415852162
"Adam.McKay","Adam.McKay",0.271911805336482
"Quentin.Tarantino","Quentin.Tarantino",0.459940217624964
"Mark.Dindal","Mark.Dindal",0.511082775639415
"Chris.Wedge","Chris.Wedge",0.917382450350309
"Jay.Roach","Jay.Roach",1.40556412065667
"Michael.Patrick.King","Michael.Patrick.King",0.0634633927723831
"Bibo.Bergeron","Bibo.Bergeron",0.421121245977916
"Rupert.Wyatt","Rupert.Wyatt",1.18048354827033
"Mark.Waters","Mark.Waters",0.143045381749127
"John.Lee.Hancock","John.Lee.Hancock",1.24424086098636
"Phil.Lord","Phil.Lord",1.14091841753343
"Dennis.Dugan","Dennis.Dugan",0.484448933919563
"Gary.Ross","Gary.Ross",1.90860671548078
"Genndy.Tartakovsky","Genndy.Tartakovsky",1.08378022467539
"Kevin.Lima","Kevin.Lima",0.305071308712622
"Daniel.Espinosa","Daniel.Espinosa",0.486344021153792
"Nancy.Meyers","Nancy.Meyers",0.779147141119122
"Peter.Segal","Peter.Segal",0.635816979073337
"Sylvester.Stallone","Sylvester.Stallone",0.168463689895296
"Todd.Phillips","Todd.Phillips",0.974204244712536
"Adam.Shankman","Adam.Shankman",0.174290528112542
"Sam.Mendes","Sam.Mendes",0.183185585203158
"Albert.Hughes","Albert.Hughes",0.0565193817846106
"Eric.Brevig","Eric.Brevig",0.354622182411168
"Cody.Cameron","Cody.Cameron",0.399135413636446
"John.Singleton","John.Singleton",0.00750756089786775
"F..Gary.Gray","F..Gary.Gray",0.379045849195808
"Robert.Luketic","Robert.Luketic",0.276995485328699
"Kyle.Balda","Kyle.Balda",3.36602996258334
"Clay.Kaytis","Clay.Kaytis",0.226689349642438
"Andy.Tennant","Andy.Tennant",0.779799566782908
"Judd.Apatow","Judd.Apatow",0.481506219299609
"Steve.Carr","Steve.Carr",0.319073209532528
"David.Silverman","David.Silverman",1.26818447452144
"Paul.Tibbitt","Paul.Tibbitt",0.985038418389584
"Clark.Johnson","Clark.Johnson",0.0188205039013605
"Betty.Thomas","Betty.Thomas",1.76872721375103
"David.Slade","David.Slade",1.03832183198194
"Clint.Eastwood","Clint.Eastwood",0.426005759098975
"David.Frankel","David.Frankel",0.00121103237157065
"Wes.Ball","Wes.Ball",0.232716412927399
"Tim.Miller","Tim.Miller",3.73641561481622
"Sean.Anders","Sean.Anders",0.25429257485478
"Wayne.Wang","Wayne.Wang",0.042696386838268
"Gabriele.Muccino","Gabriele.Muccino",0.565007425205248
"Rawson.Marshall.Thurber","Rawson.Marshall.Thurber",0.8519189611778
"Joe.Roth","Joe.Roth",0.039850358493112
"Andy.Fickman","Andy.Fickman",0.0922480522278076
"David.Gordon.Green","David.Gordon.Green",-0.0809022569921771
"Joel.Zwick","Joel.Zwick",0.956142737476851
"Ben.Affleck","Ben.Affleck",0.535198658303343
"Anne.Fletcher","Anne.Fletcher",0.153145587782811
"Sam.Taylor.Johnson","Sam.Taylor.Johnson",1.03514828715832
"Ethan.Coen","Ethan.Coen",0.0293885230514528
"Seth.Gordon","Seth.Gordon",0.698413634098544
"Michael.Sucsy","Michael.Sucsy",0.470766033432484
"Jason.Reitman","Jason.Reitman",0.0318435305617651
"Elizabeth.Banks","Elizabeth.Banks",1.27235762078101
"Woody.Allen","Woody.Allen",-0.100487622857146
"Jeff.Tremaine","Jeff.Tremaine",0.110230522089457
"Takashi.Shimizu","Takashi.Shimizu",0.267177445407559
"Henry.Joost","Henry.Joost",0.052918884048885
"Josh.Boone","Josh.Boone",0.46877425735324
"Jay.Duplass","Jay.Duplass",-0.0562250141496081
"Noah.Baumbach","Noah.Baumbach",-0.00494881551375365
"Nicole.Holofcener","Nicole.Holofcener",-0.0142516357192325
"Oren.Peli","Oren.Peli",0.236188382993597
"Jon.Gunn","Jon.Gunn",-0.03127826727189
"Kelly.Reichardt","Kelly.Reichardt",-0.082285038358208
