"","directors","score_coef"
"1","Martin Scorsese",0.267463650272085
"2","Christopher Nolan",0.267373677921615
"3","Quentin Tarantino",0.267371454164369
"4","Paul Greengrass",0.267281092297561
"5","Wes Anderson",0.267278887532211
"6","J.J. Abrams",0.267191441121922
"7","Alexander Payne",0.267187428038448
"8","Jeff Nichols",0.267186595548722
"9","Joss Whedon",0.267101310225541
"10","Shane Black",0.267101025019224
"11","Pete Docter",0.267100504702603
"12","Dean DeBlois",0.267100238668735
"13","Duncan Jones",0.267100098904477
"14","Alejandro G. Irritu",0.267099641255685
"15","David Cronenberg",0.267097383415997
"16","Ben Affleck",0.267097245038634
"17","Mel Gibson",0.267097081964465
"18","Paul Thomas Anderson",0.267096965010285
"19","Ryan Coogler",0.267096959139862
"20","Tony Kaye",0.267096819220509
"21","Paul Haggis",0.267096633013844
"22","Niki Caro",0.267096620006166
"23","Terry Zwigoff",0.267096196760221
"24","Derek Cianfrance",0.267096079491805
"25","Todd Field",0.267096024184733
"26","Noah Baumbach",0.267095849696076
"27","Stacy Peralta",0.267095529990514
"28","James Cameron",0.26701077368644
"29","Nathan Greno",0.267010675086402
"30","Lee Unkrich",0.267010247279592
"31","Mark Andrews",0.267010006906676
"32","Don Hall",0.267009609134607
"33","Rich Moore",0.267009603271267
"34","Matthew Vaughn",0.267009538941715
"35","Chris Buck",0.267009336841102
"36","Jennifer Yuh Nelson",0.267009217564355
"37","Peter Ramsey",0.26700911089045
"38","Edward Zwick",0.267009099729327
"39","Peter Weir",0.267009038570744
"40","Tony Scott",0.267008559216467
"41","Frank Oz",0.26700839127363
"42","Jean-Jacques Annaud",0.267008132788841
"43","Edgar Wright",0.267008099640304
"44","Sam Mendes",0.267008001589061
"45","Pierre Coffin",0.267007887464253
"46","Mike Nichols",0.267007855997143
"47","Henry Selick",0.267007745374872
"48","David Silverman",0.267007706199215
"49","Tom Hooper",0.267007490772507
"50","Tim Miller",0.267007134233804
"51","Baz Luhrmann",0.267007020194358
"52","George Nolfi",0.267006912960666
"53","Alan Parker",0.267006760902154
"54","Denis Villeneuve",0.267006657507743
"55","Sean Penn",0.267006621590102
"56","Frank Marshall",0.267006472870932
"57","Mimi Leder",0.267006387374368
"58","Stephen Daldry",0.267006384367137
"59","Lee Daniels",0.267006327831476
"60","Ted Demme",0.267006058498437
"61","Shane Acker",0.267006023892005
"62","Stephen J. Anderson",0.267006018606001
"63","Greg Tiernan",0.267005938113056
"64","Kevin Costner",0.267005875261786
"65","Kirsten Sheridan",0.267005804424966
"66","Bill Paxton",0.267005780463582
"67","Richard Kelly",0.267005778080648
"68","Spike Jonze",0.267005745088834
"69","Steve McQueen",0.267005693945183
"70","Tom McCarthy",0.267005677954329
"71","John Patrick Shanley",0.267005671146468
"72","Trey Parker",0.267005668882872
"73","Charlie Kaufman",0.267005591527444
"74","Brian Percival",0.26700556582031
"75","James Schamus",0.267005557341457
"76","Irwin Winkler",0.267005530120497
"77","Jason Moore",0.267005517724725
"78","Peter Kosminsky",0.267005495272681
"79","Denzel Washington",0.2670054632176
"80","Nicolas Winding Refn",0.267005461236262
"81","Theodore Melfi",0.267005365446257
"82","Stephen Chbosky",0.267005343344191
