"","keywords","gross_coef"
"1","avatar",0.246807532695272
"2","goddess",0.127641939964057
"3","deception",0.220171399049116
"4","alien",0.0503272085987925
"5","sandman",0
"6","17th century",0.0910402329111793
"7","artificial intelligence",0.191203257584543
"8","based on comic book",0.569101729275087
"9","crystal",0.0161393271358964
"10","box office hit",0.150935209572509
"11","horse",-0.0109339853238171
"12","brother brother relationship",0.0261192711374626
"13","alien invasion",0.526843561202403
"14","blackbeard",0.465371380595789
"15","lizard",0.1931207084768
"16","1190s",0
"17","dwarf",0.171212129899173
"18","children",0.0209846956596883
"19","box office flop",-0.0841793850421571
"20","dinosaur",0.248564901413455
"21","death",0.0196651678486884
"22","armor",0.360782511122995
"23","alice in wonderland",0.577691533310231
"24","cheating",-0.00651935326384099
"25","autobot",0.571890960250938
"26","blockbuster",0.368216189483159
"27","circus",0.363772940996641
"28","costumed hero",0.264305545171208
"29","arcade",0.309569014392654
"30","best friend",-0.0369228943548524
"31","autopsy",0.142943370576532
"32","college",-0.0118202705638303
"33","death row",0.0543809678429136
"34","car falling off a cliff",0.671906995384958
"35","chaos",0.128984258466381
"36","dystopia",0.127705693148279
"37","admiral",0.460055499245673
"38","bean",0.287283859222872
"39","alamut",0.0871693092291884
"40","giant monster",0.0611916963189214
"41","cult figure",0.436346550190953
"42","apatosaurus",0.169747061873689
"43","archery",0.327028440144023
"44","hatred",0
"45","earth",0.115837357311679
"46","ambassador",0.124460787837741
"47","ark",0.0655862753154751
"48","charles dickens",0.224816013477556
"49","africa",-0.0288923711965417
"50","hide and seek",0
"51","mutant",0.273884230528395
"52","balloon",0.215597622827604
"53","afghanistan",0.102178603474159
"54","automaton",0.0745373888583626
"55","army",0.0670264355808401
"56","cobra",0.286587647547822
"57","anger",0.0406156290289621
"58","hammer",0
"59","evil queen",0.110482550970941
"60","curse",0.0983900234808297
"61","ape",0.0261622081931043
"62","conspiracy",0.126771354477375
"63","alternate world",0.294621643379283
"64","boy genius",0.0932788631742662
"65","high tech",0.478692193282237
"66","boy",-0.0460669489181784
"67","dragon",0.0727534987334741
"68","drifter",0.0220240045008062
"69","bounty hunter",0.0139375915369559
"70","black hole",0.271926932618412
"71","ambiguous ending",-0.0906679241825819
"72","eighteen wheeler",0.22496115841358
"73","deformed baby",0.166901789216076
"74","cia",0.00103971514430784
"75","death of sister",0.525516689090514
"76","chosen one",-0.0342839065318652
"77","cruise",0.0636533061504397
"78","clock",0.0297984353980197
"79","disney spoof",0
"80","based on video game",-0.118774812027459
"81","alternate timeline",0.122780968880765
"82","air raid",0.220163986915256
"83","alien contact",0.414230304797544
"84","bully comeuppance",0.166174752448916
"85","new york city",-0.00641996224131635
"86","chocolate",0.165492228175785
"87","chef",0.0910391972880466
"88","armored car",-0.0708535300639738
"89","hdtv",0.0481656613143494
"90","magic",0.0881868807141536
"91","car motorcycle chase",0.430941819966807
"92","arrest",0.0675530179218433
"93","conclave",0
"94","battle",0.171554235613432
"95","cat",-0.00656806143568285
"96","fbi director",0.0871122103701532
"97","ares",0.0430593815347827
"98","camera shot of feet",0.0827328344806472
"99","asylum",-0.0463978531198324
"100","bee",-0.00913859809464051
"101","china",0.240205785326008
"102","arms dealer",0.0638432222440299
"103","black u.s. president",0.0406325224699347
"104","1940s",-0.047782643906069
"105","dog",-0.0285827714011631
"106","greek",0.0505299144477676
"107","animal",0.0401071543899616
"108","ghost",0.00357745076088956
"109","creature",-0.0291824764059239
"110","dubai",0.167028130374646
"111","belief",0.00146478188843292
"112","animal abuse",-0.0190291758764373
"113","captain",0.099455386936943
"114","evil",0.0479402324977259
"115","ancient egypt",0.122420551629991
"116","1980s",-0.0625730481043789
"117","general",-0.0269929967833967
"118","arctic",0.0740109240096563
"119","1800s",0.0817270015986347
"120","antidote",-0.0715366084070528
"121","bear attack",0.33113025420515
"122","accident",-0.0440497775862195
"123","chameleon",0
"124","little girl",0.28146865043694
"125","action hero",0.132172264957447
"126","kung fu",0.0673368375077599
"127","ant",0.0108883066705891
"128","president",0.0099874571809999
"129","alien friendship",0.136036470998496
"130","cuba",0.0254281505444847
"131","betrayal",0.0204203269462969
"132","egg",0.213796475895335
"133","museum",0.158026772908623
"134","drug dealer",-0.0723619087373149
"135","caribbean",0.685317011986509
"136","based on young adult novel",0.0585313999327106
"137","based on supposedly true story",0.225751532818759
"138","amazon",-0.0544600093354152
"139","drug lord",0.0510762797675254
"140","factory",-0.0700922271133209
"141","famous line",0.267685219097713
"142","assassin",0.120878396965969
"143","climate",0.241566834253234
"144","cure",-0.0406204208199038
"145","fantastic four",0.132406740576819
"146","blackheart",0
"147","fbi",-0.011164317889256
"148","cave painting",0.134526291877295
"149","anthropomorphic mouse",0.0155593263849752
"150","christ figure",0
"151","law enforcement",-0.0216172811380011
"152","based on anime",-0.0497132116340006
"153","embarrassment",-0.0643801502833517
"154","chase",0.0348545047436655
"155","cabin in the woods",0.0247901001577344
"156","elongated cry of no",0.635427373583928
"157","martial arts",0.00884375509436236
"158","friend",0.00634939188603212
"159","healing power",0.0120845086573598
"160","cave",-0.0106960351931853
"161","code",-0.0275302557170901
"162","based on fairy tale",0.0713008098614724
"163","18 wheeler",0.274073487734344
"164","disaster movie",0.175008761727238
"165","american revolution",0.094273770084264
"166","father daughter relationship",0.0210358513467675
"167","action heroine",0.0854265486102567
"168","1920s",0.0735990505766346
"169","bermuda triangle",-0.0421543248535193
"170","heir",0.0491918664565299
"171","blue",0.12626332849731
"172","cattle",0.0432655705483938
"173","arena",-0.0228320059848296
"174","based on cartoon",-0.0423315953079425
"175","19th century",-0.0818366778924881
"176","african american protagonist",0.0176146871083794
"177","based on cult comic book",-0.00946680937258867
"178","humanoid robot",0.134459960025555
"179","12th century",0
"180","amphibian",0.159110010225146
"181","astronaut",0.0441313465819739
"182","clone",-0.0617647122556117
"183","auto theft",0.0430013974877362
"184","battlefield",0.0445977782708452
"185","future",0.00967112805754444
"186","1930s",0.17711647428
"187","hijack",0.00470934129133849
"188","birthday",-0.0472748157207055
"189","capitalist",0
"190","dynamite",0.286053862790925
"191","church",-0.0690264590175702
"192","declaration of independence",0
"193","police surveillance",0.0385063763139215
"194","based on true story",-0.00806721463584108
"195","barn owl",0
"196","human versus dinosaur",-0.140582763291052
"197","athlete",0
"198","baby",0.0139625716295514
"199","emaciation",-0.0162688174886317
"200","casino",0.0196313778206274
"201","butcher",0
"202","chicken",-0.0488614328137327
"203","community",0.000511692871182383
"204","campaigning",0.115761696643022
"205","abu dhabi",0.0852150871236074
"206","adventurer",0.018521719557082
"207","acorn",0
"208","dress",-0.0373056027475178
"209","1970s",-0.0337947626435598
"210","great barrier reef",0.545255438275801
"211","epic",0.581946340336389
"212","apprentice",-0.0552448387602195
"213","illuminati",0.152296212813316
"214","alzheimer's disease",0.120159646044491
"215","actor playing multiple roles",-0.0317241981531957
"216","bomb",0.0875261891385021
"217","hero",0.121504923145634
"218","freight train",0.0618268079475113
"219","boat",-0.038353203151856
"220","food",0.0311177741950548
"221","daydream",0.00091341570542205
"222","booty shake",0
"223","boston",0.0827377552938062
"224","film director",-0.0471976275296654
"225","computer hacker",0
"226","black magic",0.0899969106932048
"227","atlantis",0.0868035827423447
"228","chipmunk",0.15970513095087
"229","american actor playing foreigner",0
"230","hair stylist",0.120432843255047
"231","affection",0.0621977366879025
"232","arachnophobia",0.0161622882185272
"233","experiment",0.0728484175646291
"234","golden fleece",0.0366814718020887
"235","duology",0.0428128630766981
"236","card trick",0
"237","bird",0.00295970518138761
"238","boxer",-0.0118898777116817
"239","christmas",0.0154673897315493
"240","dance",-0.0147979570005648
"241","card dealer",0.244702954931838
"242","dracula",0.0784728503374014
"243","fairy tale",0.176001493293158
"244","apartment",-0.0387187647299563
"245","book",0.105912242616874
"246","affair",0.0183376183263581
"247","bear",0.158063957440986
"248","coming of age",0.0303966421023483
"249","car",0.0319028035827245
"250","bare chested boy",-0.0748469630564274
"251","kingdom",0.064459486269422
"252","band",-0.0351425728052911
"253","core",-0.0484834793210225
"254","alter ego",0.0814699386715866
"255","amusement park",0.0289921623547289
"256","architect",-0.0469724999491596
"257","cartoon on tv",-0.0186308173151444
"258","bank",-0.0207915866126953
"259","cartoonist",-0.0804138513337843
