"","keywords","score_coef"
"1","religious fanatic",0.139862640772905
"2","uprising",0.136966367081072
"3","art class",0.133984918055335
"4","insomnia",0.130640400610456
"5","semi autobiographical",0.130591646209673
"6","cold calculation",0.130508083534516
"7","drug dealing",0.130090420472393
"8","asperger's syndrome",0.129620484312567
"9","viking",0.129387057316409
"10","record label",0.129052388099615
"11","utah",0.128084683448451
"12","turkish bath",0.12786632471161
"13","mormon missionary",0.127526286782122
"14","first person shooter",0.126926210947713
"15","proposition",0.126473853881352
"16","gardener",0.126427419915637
"17","dark past",0.125250276161172
"18","wiley college",0.124998743456433
"19","self discovery",0.124854431290382
"20","downsizing",0.124770013281107
"21","iron man",0.124528465724665
"22","end credits roll call",0.124178335768647
"23","paranormal investigating",0.124118908485046
"24","place name in title",0.12411787230029
"25","detective sergeant",0.123878450680754
"26","greeting card",0.123613261540747
"27","blindfold",0.123429872304576
"28","peanuts",0.123388727024304
"29","goblin",0.123114339788358
"30","mohawk",0.122942374577371
"31","day care",0.1229414944323
"32","biological father",0.122812191385361
"33","14 year old",0.122664503625029
"34","fable",0.122637881837572
"35","portal",0.121830517081012
"36","route 66",0.121710150970893
"37","crotch shot",0.121576779677953
"38","inter cultural",0.12104457070634
"39","tennis coach",0.120872866438287
"40","year 2054",0.120713874404318
"41","return home",0.119907873019568
"42","hitchhiker",0.119789313051323
"43","soil",0.119656369873703
"44","block party",0.119575089709141
"45","long take",0.119293368724544
"46","state trooper",0.118847234027755
"47","thrown through a window",0.118398319010123
"48","pet name in title",0.118298967615978
"49","courtship",0.117935363918328
"50","farewell scene",0.117891620882552
"51","rhythm and blues",0.117850383465345
"52","the simpsons",0.117493149984899
"53","paraplegic",0.117162961379964
"54","substance d",0.116925927193
"55","rag doll",0.1165311506613
"56","half brother",0.116454450383168
"57","indifference",0.1164526018508
"58","oceanographer",0.116134243034166
"59","organ donor",0.116062917471777
"60","cider",0.116021449919305
"61","tomboy",0.115645868649214
"62","broadway",0.115438525407569
"63","novelist",0.115436804413496
"64","stalingrad",0.115230237092552
"65","office cubicle",0.115208965843797
"66","oleander",0.114751960887574
"67","theatre director",0.11459930517338
"68","motel room key",0.114270709285058
"69","good deed",0.113988650274586
"70","obscene finger gesture",0.113959170792537
"71","house construction",0.113694054113541
"72","anthology",0.113574590533518
"73","zodiac",0.113357050171456
"74","zodiac killer",0.113356975906214
"75","chinatown san francisco",0.113350199498628
"76","sloth",0.113179628428648
"77","chameleon",0.113039025499665
"78","subjective camera",0.112946041675241
"79","divorcee",0.112919195213692
"80","innocence",0.112555189474367
"81","narcotics",0.112166921272632
"82","mole",0.111648458421498
"83","interracial sex",0.111621436529802
"84","talking to inanimate object",0.111435243868584
"85","funeral home",0.111418306137082
"86","hermit",0.111417520985765
"87","abu ghraib",0.111384576007631
"88","panama",0.111299443591186
"89","female criminal",0.111013648529526
"90","hooker",0.111012269772033
"91","criminal gang",0.110867933783488
"92","cultural conflict",0.110864193571134
"93","marshall university",0.110643271256674
"94","groom",0.110579786077142
"95","manhunt",0.109635377400933
"96","admiral",0.109634309872766
"97","library",0.109621634342886
"98","activist",0.109345131240385
"99","south central los angeles",0.108947917519606
"100","arkansas",0.108850765865589
"101","police corruption",0.108789863232381
"102","cat and mouse",0.108713304990479
"103","pan am",0.108710660736884
"104","surfing contest",0.108690136732826
"105","latina",0.108507432742446
"106","sled dog",0.108435829211857
"107","siberian husky",0.108434592299659
"108","car falling off a cliff",0.108271797367923
"109","stage play",0.108207953502378
"110","fixer",0.108169754142946
"111","cold war",0.108037489456329
"112","negotiation",0.108037355822961
"113","sister love",0.107666242859615
"114","snowman",0.107666045925812
"115","knife",0.107558837423192
"116","hotel room",0.107517434387458
"117","harmonium",0.107274503702753
"118","pudding",0.107274467327478
"119","cheetah",0.107132601606824
"120","south africa",0.107131826975948
"121","female basketball player",0.107026370674825
"122","basketball movie",0.107012836059459
"123","bull riding",0.107011176602041
"124","art collector",0.107009119483134
"125","laos",0.10697234364513
"126","bombing",0.106968262328311
"127","rear entry sex",0.106930336921489
"128","substance abuse",0.106905429544148
"129","high tech",0.106802979100808
"130","masked man",0.10680100975889
"131","network marketing",0.106697412905676
"132","elvis presley",0.106622813311607
"133","kremlin",0.1065542572678
"134","dubai",0.106550749215686
"135","false accusation",0.106499518315929
"136","expose",0.106341296451678
"137","cbs",0.106336015976985
"138","war crime",0.10633251641994
"139","teaching oneself to read",0.106330292273794
"140","kite",0.106261445477947
"141","liverpool",0.106218085860424
"142","anti war",0.106212065390751
"143","ballistics",0.1061116706968
"144","stuck in elevator",0.106034515215948
"145","buddhism",0.106032863685259
"146","rookie cop",0.105918026936571
"147","illusion",0.105906862823346
"148","rap star",0.105708185586947
"149","reference to tupac shakur",0.105707014533014
"150","school choir",0.10564803732174
"151","only son",0.105647770701754
"152","middle east",0.105543159531013
"153","jordan",0.105540076138378
"154","finance",0.105505430961968
"155","banking",0.105500656899166
"156","u.s. ambassador",0.10541153188322
"157","libya",0.105409732653576
"158","backup singer",0.105383265151589
"159","alien contact",0.105208983924686
"160","ballerina",0.105184105152983
"161","madness",0.105183019788674
"162","trojan",0.105041243394519
"163","troy",0.105040585356693
"164","thanksgiving dinner",0.104709958835282
"165","stove",0.104707272792019
"166","september 11 2001",0.104661052727872
"167","country western singer",0.104434537728371
"168","suicide contemplation",0.104338711293027
"169","practicing a suicide",0.104338426825308
"170","syracuse university",0.104196565396551
"171","construction",0.104154363104774
"172","battlefield",0.103943900097395
"173","school principal",0.10382116286803
"174","national spelling bee",0.103806953437153
"175","bear attack",0.103674064005652
"176","scalping",0.103649849442453
"177","clowning",0.103315402170666
"178","men's clothing store",0.103296492689259
"179","crying man",0.103290726921406
"180","time loop",0.103020503160744
"181","cover up",0.102944962632443
"182","troubled teen",0.102880637537875
"183","track",0.102880355598233
"184","bmx",0.102876031038345
"185","boating accident",0.102513003853934
"186","daughters",0.102512279553537
"187","hidden truth",0.102259301748858
"188","mayhem",0.102119674961995
"189","skateboarder",0.102007316971143
"190","eclipse",0.101807502054324
"191","defense attorney",0.101693229697873
"192","sex surrogate",0.101570885236811
"193","iron lung",0.101568090389793
"194","grief",0.101542917556883
"195","merchant",0.101492169462742
